,label,text,favorite_count,retweet_count,user.followers_count,user.friends_count,user.verified,user.created_at,created_at
0,1,"Michael Brown was suspected of robbing store in #Ferguson before being shot, say police http://t.co/KUZQGasFgA http://t.co/TjuEVB8z5m",88,161,115083,1873,True,Thu Aug 27 16:09:18 +0000 2009,Fri Aug 15 16:00:49 +0000 2014
1,1,Police chief said officer who shot Brown didn't know about any robbery #ferguson,47,202,3066,606,True,Thu Apr 09 02:33:23 +0000 2009,Fri Aug 15 19:12:26 +0000 2014
2,1,Report: #Ferguson police beat up wrong suspect then charged him for getting blood on uniforms in 2009 http://t.co/zmzd813Jzb,73,168,162748,521,True,Fri May 09 19:46:43 +0000 2008,Fri Aug 15 17:00:52 +0000 2014
3,1,So basically #Ferguson PD hijacked what was supposed to be a press conference about Darren Wilson to call Michael Brown a criminal #NMOS14,159,446,3593,2590,False,Tue Jan 08 23:31:12 +0000 2008,Fri Aug 15 14:45:30 +0000 2014
4,1,Report: #Ferguson police beat up wrong suspect then charged him for getting blood on uniforms in 2009 http://t.co/Mck8FYYOpp,43,126,162744,521,True,Fri May 09 19:46:43 +0000 2008,Fri Aug 15 20:39:00 +0000 2014
5,1,I'd be more inclined to take the #Ferguson PD account seriously if they hadn't been so careful to confiscate all video evidence beforehand.,68,162,4927,1949,False,Fri May 15 01:49:36 +0000 2009,Sun Aug 10 15:57:42 +0000 2014
6,1,"Possible ""robbery"" took place and BAM! Like magic it's as if another UNARMED black youth being murdered has been forgotten #smh #Ferguson",60,129,29932,276,False,Fri Apr 19 04:09:05 +0000 2013,Fri Aug 15 15:48:35 +0000 2014
7,1,7) #MikeBrown was approached for mouthing off to a cop (both  #Ferguson PD &amp; eyewitness testimonies reflect this). NOT as a robbery suspect,18,108,1624,988,False,Mon Feb 22 19:16:39 +0000 2010,Fri Aug 15 13:58:13 +0000 2014
8,1,"Store owner told @FOX2now Monday that there was a theft, but said it was not MichaelBrown; said it was someone else #Ferguson",33,115,3398,496,True,Tue Aug 02 20:32:17 +0000 2011,Fri Aug 15 21:18:58 +0000 2014
9,1,BREAKING: #Anonymous has obtained audio files of police dispatch and EMS during the #MikeBrown shooting. Will release ASAP. #Ferguson,160,192,66928,26404,False,Mon Jul 25 04:30:28 +0000 2011,Wed Aug 13 13:50:32 +0000 2014
10,1,The woman injured last night... #Ferguson  http://t.co/MaOSd1iarV,82,303,107553,1041,True,Thu Mar 06 19:51:29 +0000 2008,Wed Aug 13 11:57:00 +0000 2014
11,1,#Ferguson cops beat innocent man then charged him for bleeding on them: http://t.co/u1ot9Eh5Cq via @MichaelDalynyc http://t.co/AGJW2Pid1r,375,925,1407,1765,False,Sat Oct 04 18:31:31 +0000 2008,Fri Aug 15 14:38:36 +0000 2014
12,1,It appears that #Ferguson PD are trying to assassinate Mike Brown's character after literally assassinating Mike Brown.,52,230,488,525,False,Wed Jul 22 05:04:19 +0000 2009,Fri Aug 15 15:44:19 +0000 2014
13,1,"The surveillance photos, the police report, and this witness account. #Ferguson http://t.co/Sbx9tfA5FA http://t.co/JGgtaXYOxz",356,904,99734,1030,True,Thu Mar 06 19:51:29 +0000 2008,Fri Aug 15 14:47:54 +0000 2014
14,1,Witness: Police allegedly stopped Mike Brown after yelling at him to walk on sidewalk. #Ferguson http://t.co/XG00R6w0k6,53,288,133554,127,True,Fri Mar 13 12:55:21 +0000 2009,Sun Aug 10 11:28:53 +0000 2014
15,1,#Ferguson police say Michael Brown fit description of strong-arm robbery suspect  http://t.co/bxXMNDzhe6,103,203,4148958,393,True,Sat Mar 17 19:01:26 +0000 2007,Fri Aug 15 14:12:25 +0000 2014
16,1,There was only one TV reporter at #Ferguson protests last night. Most left earlier fearing violence. Yet only violence was cop's bullets!,98,300,133402,125,True,Fri Mar 13 12:55:21 +0000 2009,Sun Aug 10 13:39:15 +0000 2014
17,1,So lets recap. No dashboard cam of the incident. But definitely photos of Michael Brown in a store. Funny how that happens #NMOS14 #Ferguson,63,107,3580,2589,False,Tue Jan 08 23:31:12 +0000 2008,Fri Aug 15 14:26:58 +0000 2014
18,1,"#Ferguson cops beat innocent man, then charged him with bleeding on their uniforms http://t.co/JUQ3pKvbCm http://t.co/pByb9IUqew",140,475,722271,413,True,Tue Aug 11 06:12:45 +0000 2009,Fri Aug 15 18:38:16 +0000 2014
19,1,"Police reports released this morning indicate Mike Brown was a suspect in a ""strong-armed"" robbery in #Ferguson",35,156,2694,688,False,Mon Jul 13 23:56:23 +0000 2009,Fri Aug 15 14:00:21 +0000 2014
20,1,"#Ferguson cops beat man, charged him w/""property damage"" for bleeding on their uniforms. Then they lied in court. http://t.co/B0DSHrIfA1",120,468,795,688,False,Tue Jun 03 21:15:10 +0000 2008,Fri Aug 15 12:52:10 +0000 2014
21,1,"It was a St. Louis County police officer who shot this man, according to PIO Brian Schellman. #ferguson",24,114,2380,573,True,Thu Oct 23 22:13:50 +0000 2008,Wed Aug 13 07:26:22 +0000 2014
22,1,The day #Ferguson cops beat a man and charged him with getting his blood on their uniforms http://t.co/JawJSRGJ9m http://t.co/B9lA31LLis,167,530,1596,320,False,Mon Jul 18 16:08:14 +0000 2011,Fri Aug 15 15:12:26 +0000 2014
